participant,group,condition,number,target,item,basic_prop,contrast_prop,sub_prop,sup_prop,other_prop,coding,fill
4a8fbe0bd87001e7f07602a6816f1dfb,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,one-first,one,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,one-second,one,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,three-second,three,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
4a8fbe0bd87001e7f07602a6816f1dfb,C,one-first,one,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,three-first,three,first,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,one-second,one,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,three-second,three,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,one-first,one,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,three-first,three,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,one-second,one,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,three-second,three,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
69e79a50d5a5d7b7fbdb7ca171c0604a,C,one-first,one,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,one-first,one,first,animal,0.3333333333333333,0,1,0,0,broad subordinate,#CC4D06FF
0e25b53fe0db22149d880037db16a7e0,A,three-second,three,second,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,one-second,one,second,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,three-first,three,first,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,one-first,one,first,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,three-second,three,second,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,one-second,one,second,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
0e25b53fe0db22149d880037db16a7e0,A,three-first,three,first,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,one-second,one,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,three-first,three,first,beast,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,one-first,one,first,electronics,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,three-second,three,second,fruit,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,one-second,one,second,furniture,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,three-first,three,first,light,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,one-first,one,first,vegetable,0,0,1,0,0,narrow subordinate,#E1AF00FF
6b135de0a513ddc664779253d4223f0c,B,three-second,three,second,vehicle,0,0,1,0,0,narrow subordinate,#E1AF00FF
267c806dfc108301d993ab8f31003e04,D,three-second,three,second,animal,0,0,1,0,0,narrow subordinate,#E1AF00FF
